qtr_yr,TICKER,qdate,dpr,roe,roa,GProf,npm,fcf_ocf,cash_debt,cash_lt,ocf_lct,totdebt_invcap,de_ratio,debt_ebitda,intcov_ratio,curr_ratio,cash_ratio,quick_ratio,DIVAMT,change_div,Industry
Q1 2022,TROW,2022-03-31,0.611,0.35,0.341,0.329,0.376,0.934,1.531,1.186,0.0,0.033,0.266,0.082,0.0,0.0,0.0,0.0,1.2,0,Financials
Q2 2022,TROW,2022-06-30,0.741,0.283,0.303,0.3,0.333,0.929,1.531,1.091,0.0,0.031,0.244,0.087,0.0,0.0,0.0,0.0,1.2,0,Financials
Q3 2022,TROW,2022-09-30,0.545,0.23,0.264,0.261,0.293,0.917,1.531,0.946,0.0,0.034,0.245,0.109,0.0,0.0,0.0,0.0,1.2,0,Financials
Q1 2010,XOM,2010-03-31,0.382,0.162,0.182,0.252,0.07,0.276,0.241,0.112,0.608,0.078,1.084,0.229,58.651,1.091,0.247,0.857,0.42,-1,Energy
Q2 2010,XOM,2010-06-30,0.327,0.186,0.199,0.255,0.078,0.403,0.241,0.1,0.718,0.093,1.075,0.265,173.44,1.072,0.229,0.841,0.44,0,Energy
Q3 2010,XOM,2010-09-30,0.304,0.19,0.201,0.251,0.083,0.408,0.241,0.093,0.765,0.1,1.059,0.289,196.459,1.054,0.219,0.824,0.44,0,Energy
Q4 2010,XOM,2010-12-31,0.279,0.193,0.205,0.237,0.089,0.445,0.323,0.056,0.773,0.091,1.02,0.274,50.723,0.942,0.135,0.735,0.44,0,Energy
Q1 2011,XOM,2011-03-31,0.25,0.207,0.213,0.255,0.096,0.461,0.323,0.078,0.817,0.105,1.04,0.287,194.876,1.0,0.185,0.778,0.44,-1,Energy
Q2 2011,XOM,2011-06-30,0.236,0.209,0.217,0.265,0.097,0.457,0.323,0.071,0.82,0.097,1.045,0.25,210.189,0.976,0.162,0.746,0.47,0,Energy
Q3 2011,XOM,2011-09-30,0.22,0.22,0.224,0.273,0.098,0.479,0.323,0.068,0.807,0.094,1.045,0.23,191.422,0.954,0.151,0.727,0.47,0,Energy
Q4 2011,XOM,2011-12-31,0.22,0.22,0.22,0.262,0.095,0.44,0.325,0.077,0.714,0.1,1.103,0.244,64.41,0.941,0.169,0.748,0.47,0,Energy
Q1 2012,XOM,2012-03-31,0.227,0.209,0.21,0.258,0.09,0.45,0.325,0.079,0.753,0.096,1.086,0.241,162.058,0.947,0.175,0.734,0.47,-1,Energy
Q2 2012,XOM,2012-06-30,0.209,0.234,0.197,0.247,0.104,0.414,0.325,0.091,0.728,0.094,1.07,0.249,150.667,0.963,0.203,0.759,0.57,0,Energy
Q3 2012,XOM,2012-09-30,0.22,0.228,0.195,0.242,0.104,0.388,0.325,0.094,0.722,0.087,1.054,0.234,168.467,0.988,0.213,0.781,0.57,0,Energy
Q4 2012,XOM,2012-12-31,0.225,0.228,0.198,0.244,0.107,0.39,0.346,0.061,0.876,0.064,0.978,0.176,59.881,1.005,0.155,0.778,0.57,0,Energy
Q1 2013,XOM,2013-03-31,0.232,0.224,0.192,0.238,0.111,0.328,0.346,0.073,0.736,0.074,0.986,0.206,59.881,0.991,0.174,0.763,0.57,-1,Energy
Q2 2013,XOM,2013-06-30,0.295,0.176,0.187,0.23,0.091,0.286,0.346,0.053,0.692,0.079,0.994,0.227,59.881,0.946,0.126,0.713,0.63,0,Energy
Q3 2013,XOM,2013-09-30,0.314,0.167,0.177,0.219,0.087,0.264,0.346,0.041,0.686,0.091,1.005,0.275,59.881,0.898,0.098,0.666,0.63,0,Energy
