gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
4503,11850,2009-12-31,2010-09-30,2010-11-30,9.804,0.579,6.481,12.204,12.246,12.333,12.333,1.069,7.997,0.304,0.083,0.152,0.111,0.204,0.146,0.127,0.201,0.19,0.28,0.435,0.232,0.178,0.232,0.236,0.174,0.251,0.883,0.081,0.1,0.085,0.016,0.013,0.093,0.218,0.48,0.054,0.289,0.188,0.426,0.087,0.872,0.765,0.241,0.408,0.811,0.075,0.504,0.309,1.059,148.351,196.459,0.219,0.824,1.054,9.229,19.798,1.23,11.305,6.222,2.28,2.583,105.77,0.003,0,0,-0.064,1.945,3.025,2.53%,XOM,30231G10
4503,11850,2009-12-31,2010-09-30,2010-12-31,10.306,0.579,6.481,12.828,12.873,12.965,12.965,1.123,8.406,0.304,0.083,0.152,0.111,0.204,0.146,0.127,0.201,0.19,0.28,0.435,0.232,0.178,0.232,0.236,0.174,0.251,0.883,0.081,0.1,0.085,0.016,0.013,0.093,0.218,0.48,0.054,0.289,0.188,0.426,0.087,0.872,0.765,0.241,0.408,0.811,0.075,0.504,0.309,1.059,148.351,196.459,0.219,0.824,1.054,9.229,19.798,1.23,11.305,6.222,2.28,2.583,105.77,0.003,0,0,-0.064,2.045,3.18,2.41%,XOM,30231G10
4503,11850,2009-12-31,2010-09-30,2011-01-31,11.371,0.579,6.481,14.154,14.204,14.305,14.305,1.239,9.275,0.304,0.083,0.152,0.111,0.204,0.146,0.127,0.201,0.19,0.28,0.435,0.232,0.178,0.232,0.236,0.174,0.251,0.883,0.081,0.1,0.085,0.016,0.013,0.093,0.218,0.48,0.054,0.289,0.188,0.426,0.087,0.872,0.765,0.241,0.408,0.811,0.075,0.504,0.309,1.059,148.351,196.459,0.219,0.824,1.054,9.229,19.798,1.23,11.305,6.222,2.28,2.583,105.77,0.003,0,0,-0.064,2.256,3.509,2.18%,XOM,30231G10
4503,11850,2010-12-31,2010-12-31,2011-02-28,12.113,0.5,6.907,13.619,13.663,13.751,13.751,1.242,8.76,0.279,0.089,0.161,0.117,0.21,0.155,0.135,0.205,0.193,0.285,0.407,0.237,0.221,0.237,0.237,0.177,0.237,0.89,0.074,0.091,0.077,0.082,0.064,0.056,0.22,0.547,0.05,0.274,0.186,0.418,0.082,0.876,0.773,0.323,0.445,0.751,0.067,0.495,0.259,1.02,39.508,50.723,0.135,0.735,0.942,4.35,22.004,1.275,11.399,8.291,2.071,2.326,,0.003,0,0,-0.067,2.33,1.923,2.06%,XOM,30231G10
4503,11850,2010-12-31,2010-12-31,2011-03-31,11.914,0.5,6.907,13.396,13.439,13.526,13.526,1.221,8.617,0.279,0.089,0.161,0.117,0.21,0.155,0.135,0.205,0.193,0.285,0.407,0.237,0.221,0.237,0.237,0.177,0.237,0.89,0.074,0.091,0.077,0.082,0.064,0.056,0.22,0.547,0.05,0.274,0.186,0.418,0.082,0.876,0.773,0.323,0.445,0.751,0.067,0.495,0.259,1.02,39.508,50.723,0.135,0.735,0.942,4.35,22.004,1.275,11.399,8.291,2.071,2.326,,0.003,0,0,-0.067,2.292,1.892,2.09%,XOM,30231G10
4503,11850,2010-12-31,2010-12-31,2011-04-30,12.378,0.5,6.907,14.01,14.054,14.145,14.145,1.269,8.952,0.279,0.089,0.161,0.117,0.21,0.155,0.135,0.205,0.193,0.285,0.407,0.237,0.221,0.237,0.237,0.177,0.237,0.89,0.074,0.091,0.077,0.082,0.064,0.056,0.22,0.547,0.05,0.274,0.186,0.418,0.082,0.876,0.773,0.323,0.445,0.751,0.067,0.495,0.259,1.02,39.508,50.723,0.135,0.735,0.942,4.35,22.004,1.275,11.399,8.291,2.071,2.326,,0.003,0,0,-0.067,2.381,1.978,2.00%,XOM,30231G10
4503,11850,2010-12-31,2011-03-31,2011-05-31,11.615,0.453,5.978,11.84,11.873,11.873,11.873,1.134,7.874,0.25,0.096,0.167,0.125,0.213,0.165,0.141,0.213,0.207,0.299,0.407,0.256,0.193,0.256,0.249,0.187,0.255,0.88,0.086,0.105,0.089,0.016,0.013,0.078,0.223,0.496,0.057,0.287,0.177,0.421,0.094,0.948,0.817,0.323,0.461,0.771,0.079,0.5,0.306,1.04,150.399,194.876,0.185,0.778,1,4.35,20.039,1.196,11.434,6.144,2.187,2.486,17067.8,0.003,0,0,-0.06,2.192,2.178,2.25%,XOM,30231G10
4503,11850,2010-12-31,2011-03-31,2011-06-30,11.324,0.453,5.978,11.543,11.576,11.576,11.576,1.105,7.676,0.25,0.096,0.167,0.125,0.213,0.165,0.141,0.213,0.207,0.299,0.407,0.256,0.193,0.256,0.249,0.187,0.255,0.88,0.086,0.105,0.089,0.016,0.013,0.078,0.223,0.496,0.057,0.287,0.177,0.421,0.094,0.948,0.817,0.323,0.461,0.771,0.079,0.5,0.306,1.04,150.399,194.876,0.185,0.778,1,4.35,20.039,1.196,11.434,6.144,2.187,2.486,17067.8,0.003,0,0,-0.06,2.137,2.123,2.31%,XOM,30231G10
4503,11850,2010-12-31,2011-03-31,2011-07-31,10.958,0.453,5.978,11.318,11.35,11.35,11.35,1.07,7.429,0.25,0.096,0.167,0.125,0.213,0.165,0.141,0.213,0.207,0.299,0.407,0.256,0.193,0.256,0.249,0.187,0.255,0.88,0.086,0.105,0.089,0.016,0.013,0.078,0.223,0.496,0.057,0.287,0.177,0.421,0.094,0.948,0.817,0.323,0.461,0.771,0.079,0.5,0.306,1.04,150.399,194.876,0.185,0.778,1,4.35,20.039,1.196,11.434,6.144,2.187,2.486,17067.8,0.003,0,0,-0.06,2.068,2.082,2.36%,XOM,30231G10
4503,11850,2010-12-31,2011-06-30,2011-08-31,10.187,0.487,5.896,9.701,9.727,9.727,9.727,0.916,6.441,0.236,0.097,0.167,0.127,0.21,0.167,0.139,0.217,0.209,0.306,0.407,0.26,0.195,0.26,0.254,0.192,0.265,0.888,0.077,0.097,0.08,0.018,0.014,0.071,0.235,0.5,0.053,0.25,0.209,0.436,0.083,0.966,0.82,0.323,0.457,0.774,0.07,0.501,0.307,1.045,160.37,210.189,0.162,0.746,0.976,4.35,19.818,1.258,11.811,6.313,2.329,2.623,,0.003,0,0,-0.058,1.867,4,2.54%,XOM,30231G10
4503,11850,2010-12-31,2011-06-30,2011-09-30,9.996,0.487,5.896,9.519,9.544,9.544,9.544,0.899,6.32,0.236,0.097,0.167,0.127,0.21,0.167,0.139,0.217,0.209,0.306,0.407,0.26,0.195,0.26,0.254,0.192,0.265,0.888,0.077,0.097,0.08,0.018,0.014,0.071,0.235,0.5,0.053,0.25,0.209,0.436,0.083,0.966,0.82,0.323,0.457,0.774,0.07,0.501,0.307,1.045,160.37,210.189,0.162,0.746,0.976,4.35,19.818,1.258,11.811,6.313,2.329,2.623,,0.003,0,0,-0.058,1.832,3.925,2.59%,XOM,30231G10
4503,11850,2010-12-31,2011-06-30,2011-10-31,10.747,0.487,5.896,10.235,10.261,10.261,10.261,0.967,6.795,0.236,0.097,0.167,0.127,0.21,0.167,0.139,0.217,0.209,0.306,0.407,0.26,0.195,0.26,0.254,0.192,0.265,0.888,0.077,0.097,0.08,0.018,0.014,0.071,0.235,0.5,0.053,0.25,0.209,0.436,0.083,0.966,0.82,0.323,0.457,0.774,0.07,0.501,0.307,1.045,160.37,210.189,0.162,0.746,0.976,4.35,19.818,1.258,11.811,6.313,2.329,2.623,,0.003,0,0,-0.058,1.97,4.22,2.41%,XOM,30231G10
4503,11850,2010-12-31,2011-09-30,2011-11-30,10.899,0.554,5.685,9.668,9.692,9.692,9.692,0.919,6.688,0.22,0.098,0.166,0.129,0.207,0.171,0.138,0.224,0.22,0.325,0.407,0.273,0.207,0.273,0.269,0.201,0.273,0.896,0.068,0.094,0.07,0.025,0.018,0.068,0.238,0.503,0.05,0.23,0.283,0.448,0.072,0.977,0.807,0.323,0.479,0.775,0.061,0.501,0.307,1.045,146.071,191.422,0.151,0.727,0.954,4.35,20.465,1.32,12.238,6.495,2.467,2.752,,0.002,0,0,-0.053,2,1.12,2.34%,XOM,30231G10
4503,11850,2010-12-31,2011-09-30,2011-12-31,11.485,0.554,5.685,10.188,10.212,10.212,10.212,0.968,7.047,0.22,0.098,0.166,0.129,0.207,0.171,0.138,0.224,0.22,0.325,0.407,0.273,0.207,0.273,0.269,0.201,0.273,0.896,0.068,0.094,0.07,0.025,0.018,0.068,0.238,0.503,0.05,0.23,0.283,0.448,0.072,0.977,0.807,0.323,0.479,0.775,0.061,0.501,0.307,1.045,146.071,191.422,0.151,0.727,0.954,4.35,20.465,1.32,12.238,6.495,2.467,2.752,,0.002,0,0,-0.053,2.107,1.18,2.22%,XOM,30231G10
4503,11850,2010-12-31,2011-09-30,2012-01-31,11.346,0.554,5.685,10.065,10.089,10.089,10.089,0.957,6.963,0.22,0.098,0.166,0.129,0.207,0.171,0.138,0.224,0.22,0.325,0.407,0.273,0.207,0.273,0.269,0.201,0.273,0.896,0.068,0.094,0.07,0.025,0.018,0.068,0.238,0.503,0.05,0.23,0.283,0.448,0.072,0.977,0.807,0.323,0.479,0.775,0.061,0.501,0.307,1.045,146.071,191.422,0.151,0.727,0.954,4.35,20.465,1.32,12.238,6.495,2.467,2.752,,0.002,0,0,-0.053,2.082,1.166,2.25%,XOM,30231G10
4503,11850,2011-12-31,2011-12-31,2012-02-29,11.541,0.476,6.002,10.261,10.273,10.273,10.273,0.94,7.366,0.22,0.095,0.161,0.125,0.2,0.169,0.133,0.22,0.22,0.325,0.424,0.273,0.215,0.273,0.267,0.198,0.262,0.908,0.055,0.1,0.057,0.078,0.052,0.077,0.206,0.53,0.051,0.244,0.453,0.455,0.055,0.899,0.714,0.325,0.44,0.793,0.049,0.514,0.268,1.103,49.881,64.41,0.169,0.748,0.941,4.727,24.77,1.369,12.225,9.21,2.549,2.808,,0.002,0,0,-0.045,2.134,0.823,2.17%,XOM,30231G10
4503,11850,2011-12-31,2011-12-31,2012-03-31,11.572,0.476,6.002,10.288,10.3,10.3,10.3,0.943,7.386,0.22,0.095,0.161,0.125,0.2,0.169,0.133,0.22,0.22,0.325,0.424,0.273,0.215,0.273,0.267,0.198,0.262,0.908,0.055,0.1,0.057,0.078,0.052,0.077,0.206,0.53,0.051,0.244,0.453,0.455,0.055,0.899,0.714,0.325,0.44,0.793,0.049,0.514,0.268,1.103,49.881,64.41,0.169,0.748,0.941,4.727,24.77,1.369,12.225,9.21,2.549,2.808,,0.002,0,0,-0.045,2.14,0.825,2.17%,XOM,30231G10
4503,11850,2011-12-31,2011-12-31,2012-04-30,11.493,0.476,6.002,10.242,10.254,10.254,10.254,0.937,7.336,0.22,0.095,0.161,0.125,0.2,0.169,0.133,0.22,0.22,0.325,0.424,0.273,0.215,0.273,0.267,0.198,0.262,0.908,0.055,0.1,0.057,0.078,0.052,0.077,0.206,0.53,0.051,0.244,0.453,0.455,0.055,0.899,0.714,0.325,0.44,0.793,0.049,0.514,0.268,1.103,49.881,64.41,0.169,0.748,0.941,4.727,24.77,1.369,12.225,9.21,2.549,2.808,,0.002,0,0,-0.045,2.126,0.821,2.18%,XOM,30231G10
4503,11850,2011-12-31,2012-03-31,2012-05-31,10.379,0.477,5.914,9.485,9.496,9.496,9.496,0.83,6.364,0.227,0.09,0.154,0.119,0.193,0.162,0.128,0.21,0.209,0.308,0.424,0.258,0.199,0.258,0.256,0.187,0.258,0.904,0.058,0.096,0.06,0.032,0.02,0.079,0.225,0.496,0.05,0.241,0.393,0.454,0.059,0.89,0.753,0.325,0.45,0.798,0.052,0.51,0.308,1.086,123.646,162.058,0.175,0.734,0.947,4.727,21.805,1.336,12.287,6.744,2.572,2.844,,0.002,0,0,-0.054,1.902,0.787,2.90%,XOM,30231G10
4503,11850,2011-12-31,2012-03-31,2012-06-30,11.295,0.477,5.914,10.322,10.335,10.335,10.335,0.903,6.926,0.227,0.09,0.154,0.119,0.193,0.162,0.128,0.21,0.209,0.308,0.424,0.258,0.199,0.258,0.256,0.187,0.258,0.904,0.058,0.096,0.06,0.032,0.02,0.079,0.225,0.496,0.05,0.241,0.393,0.454,0.059,0.89,0.753,0.325,0.45,0.798,0.052,0.51,0.308,1.086,123.646,162.058,0.175,0.734,0.947,4.727,21.805,1.336,12.287,6.744,2.572,2.844,,0.002,0,0,-0.054,2.07,0.856,2.66%,XOM,30231G10
4503,11850,2011-12-31,2012-03-31,2012-07-31,11.464,0.477,5.914,10.476,10.489,10.489,10.489,0.917,7.029,0.227,0.09,0.154,0.119,0.193,0.162,0.128,0.21,0.209,0.308,0.424,0.258,0.199,0.258,0.256,0.187,0.258,0.904,0.058,0.096,0.06,0.032,0.02,0.079,0.225,0.496,0.05,0.241,0.393,0.454,0.059,0.89,0.753,0.325,0.45,0.798,0.052,0.51,0.308,1.086,123.646,162.058,0.175,0.734,0.947,4.727,21.805,1.336,12.287,6.744,2.572,2.844,,0.002,0,0,-0.054,2.101,0.869,2.63%,XOM,30231G10
4503,11850,2011-12-31,2012-06-30,2012-08-31,11.298,0.505,6.173,10.393,10.393,9.18,9.18,0.928,7.313,0.209,0.104,0.151,0.114,0.189,0.183,0.146,0.197,0.234,0.289,0.424,0.29,0.231,0.29,0.239,0.175,0.247,0.911,0.053,0.094,0.055,0.036,0.02,0.091,0.212,0.49,0.049,0.249,0.435,0.449,0.055,0.865,0.728,0.325,0.414,0.79,0.047,0.507,0.3,1.07,137.636,150.667,0.203,0.759,0.963,4.727,22.837,1.307,12.181,6.81,2.511,2.756,,0.002,0,0,-0.03,2.018,0.487,2.61%,XOM,30231G10
4503,11850,2011-12-31,2012-06-30,2012-09-30,11.835,0.505,6.173,10.887,10.887,9.616,9.616,0.972,7.661,0.209,0.104,0.151,0.114,0.189,0.183,0.146,0.197,0.234,0.289,0.424,0.29,0.231,0.29,0.239,0.175,0.247,0.911,0.053,0.094,0.055,0.036,0.02,0.091,0.212,0.49,0.049,0.249,0.435,0.449,0.055,0.865,0.728,0.325,0.414,0.79,0.047,0.507,0.3,1.07,137.636,150.667,0.203,0.759,0.963,4.727,22.837,1.307,12.181,6.81,2.511,2.756,,0.002,0,0,-0.03,2.114,0.51,2.49%,XOM,30231G10
4503,11850,2011-12-31,2012-06-30,2012-10-31,11.799,0.505,6.173,10.854,10.854,9.587,9.587,0.969,7.637,0.209,0.104,0.151,0.114,0.189,0.183,0.146,0.197,0.234,0.289,0.424,0.29,0.231,0.29,0.239,0.175,0.247,0.911,0.053,0.094,0.055,0.036,0.02,0.091,0.212,0.49,0.049,0.249,0.435,0.449,0.055,0.865,0.728,0.325,0.414,0.79,0.047,0.507,0.3,1.07,137.636,150.667,0.203,0.759,0.963,4.727,22.837,1.307,12.181,6.81,2.511,2.756,,0.002,0,0,-0.03,2.108,0.509,2.50%,XOM,30231G10
